1.tiff,4.tiff,7.tiff,8.gif
inf,inf,inf,inf
40.77295536176986,41.37108975935605,41.199623110231954,40.82415338867773
37.7759739771387,38.2758904210901,38.2677271687202,37.77238612406179
36.040369237477805,36.519605920918586,36.483907804851654,36.033562431618655
34.80124085863999,35.267610541225565,35.219126006283965,34.732915232171656
33.823901078420796,34.33646185891871,34.233762831571354,33.813582833428654
33.04557525612088,33.525164288969414,33.476183013247585,33.00097069457542
32.35737303989814,32.84725057072732,32.77280984751879,32.34086770045513
31.810299274020608,32.26186477136703,32.19395127642316,31.761015548065878
31.26592995322838,31.74617992828246,31.694655084816198,31.24208141867922
30.83842861645186,31.319072261857105,31.239289203459172,30.819890939757872
30.40458363217494,30.88843659968681,30.830369064279488,30.37062763389356
30.0218306554593,30.505416120990034,30.44157349554414,29.995553220420422
29.67585769165161,30.168986899856996,30.099216686958513,29.65965903785609
29.355360756874404,29.826876970866778,29.76656429471136,29.338801851347725
29.062488677630785,29.536011917461416,29.47112217601446,29.0340517152777
28.780240365769124,29.248971420651344,29.189543237394705,28.750469857980896
28.51673118137199,29.003980338402805,28.927407773126482,28.479069880362232
28.265296561376555,28.740846940103623,28.685689044748727,28.236372888823354
28.03696172709487,28.504956675995615,28.441565259182028,28.004079208025612
