1.tiff,4.tiff,7.tiff,8.gif
0.0,0.0,0.0,0.0
5.359321594238281,4.756080627441406,4.935546875,5.348594665527344
10.742645263671875,9.618637084960938,9.730960845947266,10.796913146972656
16.33727264404297,14.696174621582031,14.633834838867188,16.17316436767578
21.633506774902344,19.00469207763672,19.64577865600586,21.573135375976562
26.716739654541016,24.043846130371094,24.366424560546875,27.13363265991211
32.2928466796875,28.816238403320312,29.30050277709961,32.437442779541016
37.60340118408203,33.80084228515625,34.39445495605469,37.88874053955078
43.10373306274414,38.67391586303711,39.01579284667969,43.10500717163086
48.14753723144531,43.18848419189453,44.10820007324219,48.669288635253906
53.9537353515625,48.152957916259766,48.88922882080078,54.03170394897461
59.102638244628906,52.99910354614258,53.89170837402344,59.63539505004883
64.3261604309082,58.03889846801758,58.539794921875,64.89572525024414
69.85310745239258,62.516971588134766,63.689273834228516,70.3198356628418
75.46528244018555,67.32384490966797,68.67786026000977,75.99560546875
80.69054412841797,72.22346496582031,73.52082824707031,81.39545822143555
86.14398193359375,77.00106811523438,78.34637069702148,86.64738464355469
91.56187438964844,81.82071685791016,83.27281188964844,92.1533088684082
96.87277603149414,86.94348526000977,88.23238372802734,97.54550552368164
102.36975860595703,91.2939567565918,93.13219833374023,102.87981414794922
