1.tiff,4.tiff,7.tiff,8.gif
1.0,1.0,1.0,1.0
0.3901759462591244,0.37241633185975714,0.309877726631193,0.4061876370394777
0.23235761976905753,0.21211472018324568,0.15285981847037586,0.24288042445751684
0.16448979019791937,0.14701631313696228,0.09944892502210662,0.17039674633335386
0.12872579910610377,0.11229970871189027,0.07127509698120404,0.13436793968367178
0.10110157791275096,0.0890235645567028,0.055515817379317184,0.10641780762006312
0.08272343754587233,0.07080832617562335,0.04395717668330591,0.08727435747657548
0.06929373549513841,0.059417567735549175,0.03493775430039158,0.07218627101732969
0.058657668500318685,0.05010449484782612,0.029260318353243078,0.0605316518215579
0.04944535645867897,0.04317106306088706,0.02575114924158445,0.05198286744677479
0.042434168745466225,0.03615452613748319,0.02141076343444727,0.04341736008531962
0.035143838645429956,0.03140384932805547,0.017908062840038676,0.037690828909616836
0.029757712702896063,0.026122701339126184,0.014685867832136516,0.029938858174398817
0.025085490538081838,0.021799115213233813,0.013503754965752623,0.02480077244076179
0.02104253093197139,0.018566330714663293,0.010638016800773047,0.021523334946871787
0.017595495535789415,0.01472278071122009,0.009417035556531818,0.017995860055785316
0.01305104567740817,0.012497013656776294,0.008087831190470459,0.013551558653845986
0.010762917671169903,0.009810477711141326,0.005953279518405442,0.011083537648461272
0.0072157795434722545,0.007591622679177192,0.0050587698339141255,0.008380486370641115
0.006100008499843983,0.004178882245272579,0.004275449652413797,0.004779079328130129
