1.tiff,2.gif,3.tiff
1.9998952099226543,1.9998476005833432,1.99981017176487
1.9839354234333575,1.9659713859909578,1.9553623032581453
1.961741187507628,1.9250705924939764,1.9166639385996085
1.948166911159421,1.8863762715904395,1.876517593683781
1.9343284957818603,1.8454704319120365,1.8329867403547928
1.921224520230621,1.8118069188628056,1.792886310750418
1.9135719247839342,1.7743377123471837,1.7622282334302946
1.9057501375456423,1.7374536528877442,1.7211732672043851
1.9127618578478771,1.714753013464358,1.679850648347435
1.9031880501110037,1.671780759989793,1.652025433097233
1.8937458920320958,1.6424971084644515,1.6111995382726616
2.08066571115305,1.8219845216601087,1.7972028597513012
2.27839730796116,2.0418049620974785,2.0095117118671197
2.4980266483597657,2.278562540457379,2.2556271872439204
2.7377630463646034,2.548391281287849,2.530143133027145
2.994496659848571,2.850647428219836,2.8497479497031457
3.269686034692273,3.248493976314734,3.2005865138489935
3.5800927658425654,3.660891876118884,3.5864403963272418
3.9276720912201797,4.135939354122584,3.994679995346966
4.306360865198669,4.684452961093488,4.427510890752614
