,Unnamed: 0,1.1.01.tiff,1.1.02.tiff,1.1.03.tiff,1.1.04.tiff,1.1.05.tiff,1.1.06.tiff,1.1.07.tiff,1.1.08.tiff,1.1.09.tiff,1.1.10.tiff,1.1.12.tiff,1.1.13.tiff,1.2.01.tiff,1.2.02.tiff,1.2.03.tiff,1.2.04.tiff,1.2.05.tiff,1.2.06.tiff,1.2.07.tiff,1.2.08.tiff,1.2.10.tiff,1.2.11.tiff,1.2.12.tiff,1.2.13.tiff,1.5.01.tiff,1.5.02.tiff,1.5.03.tiff,1.5.05.tiff,2.1.01.tiff,2.1.02.tiff,2.1.03.tiff,2.1.04.tiff,2.1.05.tiff,2.1.06.tiff,2.1.07.tiff,2.1.08.tiff,2.1.09.tiff,2.1.10.tiff,2.1.12.tiff,motion02.512.tiff,texmos2.s512.tiff,mean
0,d1,40.90583677611928,40.8242088326892,40.88256624921321,40.68016486969893,41.16710532056119,40.70860418932267,40.69854110296218,40.324807922966045,40.749088313841774,40.990189929992,40.70414047963999,40.960977368895264,40.88895212989727,40.83353348931106,40.72809552747252,40.75698798138694,40.91980124094518,40.86688513225343,40.73247235083944,41.08838060651405,40.87886211978925,40.83862980253613,40.85891050483912,40.88352790456258,40.87438518452735,43.02715661805418,40.66721332870146,40.54280053311413,40.86232833303928,40.70004553801982,40.84557349523598,40.78590295492842,40.70189087847349,40.906137054013726,40.725410928049264,40.62640452354656,40.43838969488962,40.68496691515201,40.57542634383822,40.96201377791719,44.28408380597189,40.92881463545663
1,d2,39.27264415827264,39.395124729961054,39.36540965983773,39.18156131356647,39.69928328945248,39.324510939934754,39.28342343760994,38.95976868688201,39.36093865511451,39.4985559766011,39.154406033319056,39.48539197678409,39.44678590610301,39.4487198620586,39.40051205717991,39.26481597741071,39.43061436510947,39.43307550236729,39.32291053029188,39.6509084595303,39.38072777937541,39.29693960343084,39.32823297309204,39.47715758771771,39.43166258094762,41.476825115988845,39.177368294163706,39.06202120891377,39.46364984719753,39.25915959655353,39.42448584150056,39.41643432752193,39.344757323242085,39.40589718735295,39.2446553904165,39.23381658933018,38.91084691531436,39.20339884194279,39.17202953287141,39.41227470591208,42.8159735081654,39.47116283581313
2,d3,38.242564057348766,38.28109929912414,38.253269539798126,38.14445638995269,38.673066665911215,38.27284751643723,38.18345168584119,37.8236688021881,38.28126223086967,38.44220489180882,38.129673884883225,38.476425354205006,38.35360766560255,38.35974883510014,38.22351275735369,38.16230545893442,38.33411615836444,38.32050043028745,38.25581618771357,38.5591132173929,38.36165106016337,38.23680525516731,38.24756460728005,38.366164535011286,38.36709508271301,40.53659507023404,38.10796153593572,37.95618815981376,38.34108294013853,38.14784192881847,38.31567281665552,38.30751676283758,38.159696853973735,38.29014582602069,38.08975243259778,38.05362840702213,37.86500247817703,38.16135103157349,38.08520345419912,38.36977764498816,41.71141911035504,38.38660556153154
3,d4,37.77216036090552,37.776215206726405,37.86547208557744,37.63129393063737,38.105402928243976,37.831721434792286,37.77923629129032,37.42819777835182,37.757077622827765,38.00250245563374,37.638071380294896,37.96986399141584,37.90759668205279,37.89288230354551,37.7971339715613,37.72395362511417,37.8979935350722,37.91028855398227,37.753005667816,38.031182763229474,37.95806961721818,37.79593440541986,37.83180030451093,37.844217709140864,37.88633296979901,40.020945791342456,37.65294163444605,37.48179486890227,37.89366865764908,37.70110551163367,37.85552612502888,37.82378714541501,37.76048955753896,37.83909085256748,37.66911209361994,37.568204452328125,37.35518519193087,37.64015925847304,37.566929217862565,37.95188075076339,41.38305082906464,37.92564584179819
4,d5,36.10095147134726,36.03915829044301,36.0676047489692,35.89656231445058,36.390509496388994,36.05232176476449,36.003596054899646,35.638649234486664,36.00112389075174,36.21695956473885,35.85298423430106,36.16939319157213,36.07777139007717,36.0925433518593,35.968192766296816,35.924750878499665,36.107353253913054,36.09844091767612,36.03787298830419,36.24882383629301,36.11975143403055,36.04903895063499,36.025617273398986,36.12630840340884,36.15748789836423,38.213322645699336,35.828201496017215,35.75582579461453,36.102819847074414,35.925463700013424,36.08423559022286,36.07899177594589,35.96850927785111,36.03511026260292,35.922757925429586,35.884106160098824,35.65895832605906,35.9510550717767,35.842948637973336,36.11267238968907,39.573471760074966,36.15615166490277
5,d6,34.827957055988605,34.773070438025655,34.79854948903088,34.622423658669895,35.1423632564951,34.81095843281973,34.73022951676648,34.34453257813462,34.77258260931202,34.99701369853765,34.620385614602654,34.974808747831794,34.857239212870105,34.84020813253489,34.762707839464824,34.65897202570876,34.89351360985017,34.902009384511594,34.79633024869467,35.00309506707302,34.89530487002013,34.77099181207747,34.76846042784746,34.88273291432968,34.93747936679766,37.01135888384047,34.627173944638734,34.485914587055866,34.84748532185999,34.7172912971648,34.8223716184954,34.826612148829376,34.73028807077587,34.804221160763575,34.68332783780603,34.567599830799736,34.40756585762602,34.64745970401543,34.551880864128904,34.87371513908248,38.278224130935655,34.90893683916618
6,d7,33.830863312622654,33.83916183123753,33.836032544559174,33.66086433189323,34.14779672319329,33.82763174321103,33.76577840631796,33.436984081026225,33.818642523603366,34.005957422574284,33.634760705787315,33.98425279985612,33.878308804643105,33.894570479763125,33.81225508934405,33.719111704651894,33.906728992050844,33.92516983929199,33.796866115824415,34.05616528728875,33.93831534581441,33.79428531884553,33.820699861241984,33.90309563717802,33.93110262930448,36.00582687848438,33.60173217515314,33.50776919529595,33.90724808215724,33.71492245981133,33.89135504714259,33.84081286917071,33.76042760764954,33.87305174507063,33.74704305576022,33.663339585831714,33.416305120721226,33.6704127439856,33.606730690198546,33.950957794830124,37.30370219551319,33.942122897021974
7,d8,33.04487409286853,33.00597636576007,33.06800016783485,32.88452996016856,33.39694809511294,33.03146797120621,32.99873351625151,32.630383450853046,33.00517773749513,33.196527644733905,32.85438799330923,33.153273425996595,33.12629738383804,33.14562900111249,33.0070999876157,32.936938647577826,33.11476495059318,33.101450766662886,33.00044344833487,33.2959877924702,33.13367453340396,33.033876801699776,32.994399182088046,33.13050350542683,33.134157386760194,35.2636423831919,32.850041565974124,32.75281530853881,33.089955665401234,32.95812272296891,33.11492763240993,33.02413923884005,32.9679238092051,33.06872693844663,32.93735084227795,32.84277187287384,32.635907158787894,32.87808488426642,32.82602595189043,33.13508706996673,36.544397239684905,33.15403473399754
8,d9,32.37084585857372,32.362481134230954,32.383829474139446,32.18182207994165,32.73597382862291,32.35622318741038,32.266373935132016,31.955971475733957,32.364817838984905,32.550329971484416,32.18290223875303,32.50861441542193,32.42658207792186,32.4197169632814,32.36343111955641,32.2535166479088,32.470895041346715,32.453499779270835,32.351340911899264,32.606832788103105,32.47088109005149,32.36165423670064,32.340838873863696,32.457264414699736,32.48176636207899,34.59735951805659,32.186386265127126,32.05477405047723,32.41715643467159,32.26024285219564,32.41508714987829,32.38614621392095,32.307082094593184,32.39302974075105,32.26314277915411,32.1753328883753,31.975828767208327,32.22799230563465,32.19100321381156,32.448124185462504,35.82655705978822,32.48301588449314
9,d10,31.813191166059436,31.762408045416443,31.80945824536224,31.619432337630517,32.13369869839244,31.792142477583933,31.695440289896283,31.36941525105039,31.762070104948656,31.96700790035862,31.596918305702324,31.938916369866867,31.873503548471938,31.86190073922817,31.784552965282515,31.6740234506376,31.885212159065443,31.87646571475903,31.73291264160712,32.034600150585405,31.898682689668533,31.785213165243125,31.750995709777897,31.882409477754745,31.887561766102305,34.018046659386535,31.57360592998774,31.465585099317018,31.860227941014543,31.676916191634334,31.86173788946041,31.79589200074976,31.699788337596736,31.830747737391757,31.688954122672417,31.597757074221327,31.38595796776982,31.669825728036454,31.560636867655745,31.883186923578943,35.25011471727301,31.90261255019995
