1.tiff,10.gif,11.gif,12.tiff,13.tiff,14.gif,15.gif,2.gif,3.tiff,4.tiff,5.gif,6.gif,7.tiff,8.gif,9.gif
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.861137390136719,9.73996353149414,10.006847381591797,7.574184417724609,10.432048797607422,10.282939910888672,11.467594146728516,10.671871185302734,11.602851867675781,9.706836700439453,10.347541809082031,9.402931213378906,9.6820068359375,10.760635375976562,9.769454956054688
21.43985366821289,19.77419662475586,20.393646240234375,15.219165802001953,21.20050811767578,20.60552215576172,22.747852325439453,21.768714904785156,23.548168182373047,19.04187774658203,21.105213165283203,18.714866638183594,19.707149505615234,21.786075592041016,19.628528594970703
32.22066879272461,29.55095672607422,30.346542358398438,22.986865997314453,31.90673828125,30.83275604248047,34.612213134765625,32.72540283203125,35.103515625,28.84698486328125,31.541091918945312,27.929973602294922,29.27927017211914,32.247528076171875,29.499969482421875
43.05715560913086,39.50952911376953,40.413543701171875,30.384662628173828,42.39451217651367,41.23643112182617,45.892887115478516,43.34553909301758,46.85298538208008,38.73284912109375,42.19114685058594,37.41432571411133,39.34723663330078,43.57733917236328,39.26811599731445
53.80329513549805,49.20602035522461,50.71443176269531,38.124786376953125,52.873268127441406,51.465362548828125,57.286842346191406,54.41641616821289,58.542991638183594,48.1968879699707,52.665035247802734,46.645538330078125,49.035438537597656,54.101924896240234,48.99809265136719
64.46186447143555,59.25635528564453,60.815860748291016,45.70609664916992,63.216773986816406,61.5764045715332,68.75188446044922,65.05163192749023,70.22813034057617,57.63255310058594,63.16210174560547,55.66055679321289,58.733116149902344,64.9240951538086,59.05010986328125
75.32760620117188,69.0071029663086,70.7475814819336,53.47404098510742,74.20945358276367,71.8745231628418,80.18486022949219,76.27420425415039,81.9771957397461,67.52505493164062,73.85144424438477,65.09340286254883,68.31814193725586,75.83632278442383,68.66196823120117
86.09175491333008,79.07164764404297,80.73242568969727,60.981502532958984,84.49372100830078,82.08113098144531,91.89158248901367,87.1362190246582,93.69401550292969,77.2473258972168,84.41617202758789,74.45829391479492,78.32272720336914,86.69419860839844,78.34984588623047
96.84519958496094,88.67707443237305,90.95813751220703,68.50655746459961,95.09066772460938,92.56131362915039,102.9388313293457,98.13934326171875,105.54958724975586,86.54220199584961,95.18746948242188,83.73002624511719,88.2542953491211,97.56060791015625,88.5609130859375
107.64528274536133,98.53498840332031,101.24448776245117,76.04987335205078,105.58428573608398,102.96043395996094,114.50445938110352,108.86882019042969,117.44860076904297,96.47269058227539,105.62208557128906,93.05320358276367,97.71718978881836,108.34564208984375,98.34696960449219
107.66294860839844,98.26916122436523,100.83976745605469,76.577880859375,105.50876998901367,102.75236511230469,114.6931037902832,108.81937026977539,117.72128295898438,96.43153381347656,105.70894622802734,92.91230392456055,98.55703735351562,108.30796432495117,97.64883422851562
107.66799926757812,98.18663787841797,100.64341354370117,77.03628158569336,105.19529342651367,102.78961944580078,114.67430877685547,108.8969841003418,118.11722183227539,96.45121765136719,105.8355941772461,93.03032684326172,99.22936248779297,108.32894897460938,96.92755126953125
107.87053298950195,97.88902282714844,100.52933502197266,77.37518692016602,105.12052536010742,102.68671417236328,114.90150451660156,108.81207275390625,118.69600296020508,96.47627639770508,105.84362411499023,92.81911849975586,100.05100631713867,108.37919998168945,96.5128402709961
107.9290542602539,97.92195892333984,100.26604080200195,77.98344039916992,104.91478729248047,102.83004760742188,114.75370025634766,108.85949325561523,118.83270263671875,96.63896942138672,105.81521224975586,92.77461242675781,100.98030090332031,108.1988525390625,95.72650909423828
107.92074966430664,97.53164672851562,99.98591232299805,78.49990463256836,104.69295883178711,102.88601303100586,114.83193969726562,108.89406204223633,119.3091926574707,96.5305061340332,105.95312881469727,92.60254287719727,101.39727020263672,107.98337173461914,95.23820495605469
108.09737014770508,97.55232238769531,99.4280891418457,78.84394454956055,104.57793807983398,102.75806045532227,114.87135314941406,109.05000305175781,119.88217544555664,96.4918098449707,105.87308502197266,92.5764045715332,102.08636856079102,107.94023132324219,94.742431640625
108.1532974243164,97.32688522338867,99.28375625610352,79.32624816894531,104.24393081665039,102.6932487487793,114.79137420654297,109.12874221801758,120.08641815185547,96.60927963256836,105.89791107177734,92.48845672607422,102.89101028442383,107.82287979125977,94.07775115966797
108.10638427734375,97.07323837280273,99.26074600219727,79.8434829711914,104.09954833984375,102.8161506652832,114.78769302368164,109.18196487426758,120.56326293945312,96.5654067993164,105.96370315551758,92.48384094238281,103.47544860839844,107.90496826171875,93.45474624633789
108.25561141967773,96.91764068603516,98.77399063110352,80.26481628417969,103.82990646362305,102.80400085449219,114.83867645263672,109.08494186401367,121.03639602661133,96.68497848510742,105.99276351928711,92.34400177001953,104.26506423950195,107.75583267211914,92.75736236572266
