1.tiff,4.tiff,7.tiff,8.gif
0.0,0.0,0.0,0.0
5.3278656005859375,4.889381408691406,4.953147888183594,5.397693634033203
10.805797576904297,9.568500518798828,9.794189453125,10.83499526977539
16.066173553466797,14.472537994384766,14.698780059814453,16.146408081054688
21.655956268310547,19.330158233642578,19.686992645263672,21.595298767089844
26.987319946289062,24.05834197998047,24.43383026123047,27.177505493164062
32.408687591552734,29.014007568359375,29.26648712158203,32.641136169433594
37.924339294433594,33.74953842163086,34.157264709472656,37.98713302612305
43.14664077758789,38.73215103149414,39.26651382446289,43.294952392578125
48.342918395996094,43.432037353515625,44.10752487182617,48.90483856201172
53.84859085083008,48.14530563354492,49.02989196777344,53.95541000366211
59.14045333862305,52.94192123413086,53.81350326538086,59.814453125
64.44940948486328,57.584800720214844,58.78416442871094,64.94271850585938
69.87020874023438,62.5066032409668,63.64307403564453,70.43279647827148
75.38959884643555,67.43025207519531,68.31379699707031,75.8198127746582
80.70201110839844,72.17669677734375,73.54814529418945,81.38933563232422
86.0729751586914,77.05301666259766,78.32725143432617,86.58114624023438
91.56121444702148,81.9333610534668,83.35228729248047,92.00104522705078
96.89971542358398,86.78171920776367,88.03772354125977,97.60416412353516
102.32195663452148,91.50154876708984,93.0647087097168,103.15327072143555
